Step,Susceptible,Vaccinated,Infected_S,Infected_V,Recovered_S,Recovered_V
0,14564,14868,436,132,0,0
1,14239,14687,547,99,214,214
2,13891,14481,646,106,463,413
3,13509,14223,762,123,729,654
4,13169,13957,802,123,1029,920
5,12836,13725,804,103,1360,1172
6,12493,13505,838,123,1669,1372
7,12153,13240,872,139,1975,1621
8,11804,13006,899,125,2297,1869
9,11531,12779,802,117,2667,2104
10,11273,12558,727,118,3000,2324
11,11038,12389,697,102,3265,2509
12,10818,12204,646,103,3536,2693
13,10641,12049,573,86,3786,2865
14,10492,11936,475,53,4033,3011
15,10349,11829,437,55,4214,3116
16,10216,11714,410,62,4374,3224
17,10113,11619,349,43,4538,3338
18,9998,11544,333,46,4669,3410
19,9902,11469,295,40,4803,3491
20,9832,11409,250,36,4918,3555
21,9751,11342,246,45,5003,3613
22,9676,11267,238,40,5086,3693
23,9615,11220,210,23,5175,3757
24,9562,11179,184,22,5254,3799
25,9513,11141,171,23,5316,3836
26,9472,11095,158,25,5370,3880
27,9431,11065,135,16,5434,3919
28,9387,11035,134,16,5479,3949
29,9355,11007,110,14,5535,3979
30,9332,10990,90,10,5578,4000
31,9317,10967,75,11,5608,4022
32,9301,10955,55,4,5644,4041
33,9294,10944,46,10,5660,4046
34,9278,10928,48,9,5674,4063
35,9267,10910,40,10,5693,4080
36,9257,10905,36,3,5707,4092
37,9245,10899,32,2,5723,4099
38,9227,10890,37,8,5736,4102
39,9221,10879,33,4,5746,4117
40,9213,10872,26,5,5761,4123
41,9206,10871,24,1,5770,4128
42,9200,10863,23,7,5777,4130
43,9197,10860,16,1,5787,4139
44,9195,10857,12,1,5793,4142
45,9194,10855,8,0,5798,4145
46,9191,10855,9,0,5800,4145
47,9188,10855,7,0,5805,4145
48,9186,10854,6,1,5808,4145
49,9184,10852,6,0,5810,4148
50,9183,10848,5,1,5812,4151
51,9181,10848,5,0,5814,4152
52,9180,10848,3,0,5817,4152
53,9180,10848,2,0,5818,4152
54,9179,10847,1,0,5820,4153
55,9179,10847,0,0,5821,4153
56,9179,10847,0,0,5821,4153
57,9179,10847,0,0,5821,4153
58,9179,10847,0,0,5821,4153
59,9179,10847,0,0,5821,4153
