Step,AgentID,State
59,0,1
59,1,1
59,2,5
59,3,5
59,4,5
59,5,1
59,6,1
59,7,5
59,8,1
59,9,1
59,10,1
59,11,1
59,12,1
59,13,5
59,14,5
59,15,1
59,16,1
59,17,5
59,18,1
59,19,5
59,20,5
59,21,1
59,22,1
59,23,1
59,24,1
59,25,1
59,26,1
59,27,1
59,28,1
59,29,1
59,30,1
59,31,5
59,32,5
59,33,1
59,34,1
59,35,5
59,36,1
59,37,1
59,38,5
59,39,1
59,40,1
59,41,5
59,42,1
59,43,1
59,44,1
59,45,1
59,46,1
59,47,1
59,48,5
59,49,1
59,50,5
59,51,1
59,52,1
59,53,1
59,54,1
59,55,5
59,56,1
59,57,1
59,58,1
59,59,1
59,60,5
59,61,1
59,62,1
59,63,5
59,64,1
59,65,5
59,66,1
59,67,1
59,68,5
59,69,5
59,70,1
59,71,1
59,72,5
59,73,1
59,74,1
59,75,1
59,76,1
59,77,5
59,78,1
59,79,5
59,80,1
59,81,1
59,82,5
59,83,5
59,84,5
59,85,5
59,86,1
59,87,1
59,88,1
59,89,5
59,90,1
59,91,1
59,92,1
59,93,1
59,94,1
59,95,5
59,96,1
59,97,5
59,98,1
59,99,5
59,100,1
59,101,5
59,102,1
59,103,1
59,104,1
59,105,5
59,106,5
59,107,1
59,108,5
59,109,5
59,110,5
59,111,5
59,112,1
59,113,5
59,114,1
59,115,5
59,116,1
59,117,5
59,118,1
59,119,1
59,120,1
59,121,1
59,122,5
59,123,5
59,124,1
59,125,5
59,126,1
59,127,1
59,128,1
59,129,1
59,130,5
59,131,1
59,132,1
59,133,5
59,134,5
59,135,1
59,136,1
59,137,1
59,138,1
59,139,5
59,140,1
59,141,1
59,142,1
59,143,1
59,144,1
59,145,1
59,146,5
59,147,1
59,148,1
59,149,1
59,150,1
59,151,1
59,152,1
59,153,1
59,154,5
59,155,1
59,156,5
59,157,5
59,158,1
59,159,1
59,160,5
59,161,1
59,162,1
59,163,5
59,164,1
59,165,1
59,166,1
59,167,5
59,168,1
59,169,5
59,170,1
59,171,1
59,172,1
59,173,5
59,174,1
59,175,5
59,176,5
59,177,1
59,178,1
59,179,5
59,180,5
59,181,1
59,182,1
59,183,1
59,184,5
59,185,1
59,186,1
59,187,1
59,188,5
59,189,1
59,190,5
59,191,1
59,192,5
59,193,1
59,194,5
59,195,1
59,196,1
59,197,1
59,198,5
59,199,1
59,200,5
59,201,5
59,202,5
59,203,5
59,204,1
59,205,5
59,206,5
59,207,1
59,208,5
59,209,1
59,210,1
59,211,1
59,212,1
59,213,5
59,214,1
59,215,1
59,216,5
59,217,5
59,218,1
59,219,1
59,220,5
59,221,1
59,222,5
59,223,1
59,224,1
59,225,5
59,226,5
59,227,1
59,228,5
59,229,1
59,230,1
59,231,1
59,232,1
59,233,5
59,234,1
59,235,5
59,236,1
59,237,1
59,238,5
59,239,1
59,240,1
59,241,1
59,242,5
59,243,1
59,244,1
59,245,1
59,246,5
59,247,1
59,248,1
59,249,1
59,250,5
59,251,1
59,252,1
59,253,1
59,254,1
59,255,1
59,256,5
59,257,5
59,258,1
59,259,1
59,260,1
59,261,1
59,262,1
59,263,5
59,264,1
59,265,1
59,266,1
59,267,1
59,268,1
59,269,1
59,270,5
59,271,1
59,272,1
59,273,1
59,274,1
59,275,1
59,276,1
59,277,1
59,278,1
59,279,1
59,280,1
59,281,5
59,282,1
59,283,5
59,284,1
59,285,5
59,286,1
59,287,5
59,288,5
59,289,1
59,290,1
59,291,1
59,292,1
59,293,1
59,294,1
59,295,1
59,296,5
59,297,5
59,298,1
59,299,5
59,300,5
59,301,1
59,302,1
59,303,1
59,304,5
59,305,1
59,306,1
59,307,5
59,308,1
59,309,5
59,310,1
59,311,5
59,312,5
59,313,5
59,314,1
59,315,5
59,316,1
59,317,5
59,318,5
59,319,5
59,320,1
59,321,1
59,322,5
59,323,1
59,324,1
59,325,5
59,326,1
59,327,5
59,328,5
59,329,1
59,330,1
59,331,5
59,332,1
59,333,1
59,334,1
59,335,1
59,336,1
59,337,5
59,338,1
59,339,1
59,340,1
59,341,1
59,342,1
59,343,1
59,344,1
59,345,1
59,346,1
59,347,1
59,348,5
59,349,1
59,350,1
59,351,5
59,352,1
59,353,1
59,354,1
59,355,1
59,356,5
59,357,1
59,358,1
59,359,1
59,360,5
59,361,5
59,362,1
59,363,1
59,364,1
59,365,5
59,366,1
59,367,1
59,368,1
59,369,1
59,370,1
59,371,5
59,372,5
59,373,5
59,374,1
59,375,5
59,376,5
59,377,5
59,378,1
59,379,1
59,380,1
59,381,5
59,382,1
59,383,5
59,384,5
59,385,5
59,386,1
59,387,5
59,388,5
59,389,1
59,390,5
59,391,1
59,392,1
59,393,1
59,394,1
59,395,1
59,396,5
59,397,5
59,398,1
59,399,5
59,400,1
59,401,1
59,402,5
59,403,1
59,404,1
59,405,1
59,406,1
59,407,1
59,408,1
59,409,1
59,410,1
59,411,1
59,412,1
59,413,1
59,414,1
59,415,5
59,416,1
59,417,5
59,418,5
59,419,1
59,420,1
59,421,1
59,422,5
59,423,1
59,424,1
59,425,1
59,426,5
59,427,1
59,428,5
59,429,1
59,430,1
59,431,1
59,432,5
59,433,5
59,434,5
59,435,1
59,436,1
59,437,5
59,438,5
59,439,1
59,440,1
59,441,1
59,442,1
59,443,5
59,444,5
59,445,1
59,446,1
59,447,1
59,448,1
59,449,1
59,450,5
59,451,1
59,452,1
59,453,1
59,454,1
59,455,1
59,456,1
59,457,5
59,458,5
59,459,1
59,460,1
59,461,1
59,462,1
59,463,5
59,464,1
59,465,5
59,466,1
59,467,1
59,468,1
59,469,1
59,470,1
59,471,1
59,472,5
59,473,1
59,474,5
59,475,1
59,476,5
59,477,5
59,478,1
59,479,1
59,480,5
59,481,5
59,482,1
59,483,1
59,484,1
59,485,5
59,486,5
59,487,5
59,488,5
59,489,1
59,490,1
59,491,1
59,492,1
59,493,1
59,494,1
59,495,1
59,496,1
59,497,1
59,498,1
59,499,1
59,500,1
59,501,1
59,502,1
59,503,5
59,504,1
59,505,1
59,506,1
59,507,5
59,508,5
59,509,1
59,510,1
59,511,1
59,512,5
59,513,1
59,514,1
59,515,1
59,516,1
59,517,1
59,518,1
59,519,1
59,520,1
59,521,5
59,522,1
59,523,5
59,524,1
59,525,1
59,526,5
59,527,1
59,528,1
59,529,1
59,530,1
59,531,5
59,532,1
59,533,1
59,534,5
59,535,1
59,536,5
59,537,5
59,538,5
59,539,1
59,540,5
59,541,1
59,542,1
59,543,5
59,544,5
59,545,1
59,546,1
59,547,5
59,548,5
59,549,5
59,550,1
59,551,1
59,552,1
59,553,5
59,554,5
59,555,5
59,556,1
59,557,1
59,558,5
59,559,1
59,560,1
59,561,1
59,562,5
59,563,5
59,564,1
59,565,5
59,566,1
59,567,5
59,568,5
59,569,5
59,570,5
59,571,1
59,572,1
59,573,1
59,574,1
59,575,1
59,576,1
59,577,5
59,578,1
59,579,1
59,580,1
59,581,1
59,582,1
59,583,5
59,584,1
59,585,1
59,586,1
59,587,1
59,588,1
59,589,5
59,590,5
59,591,1
59,592,1
59,593,5
59,594,1
59,595,1
59,596,1
59,597,1
59,598,1
59,599,5
59,600,1
59,601,5
59,602,5
59,603,1
59,604,5
59,605,5
59,606,1
59,607,5
59,608,1
59,609,1
59,610,1
59,611,1
59,612,1
59,613,5
59,614,1
59,615,5
59,616,5
59,617,5
59,618,1
59,619,5
59,620,1
59,621,1
59,622,5
59,623,1
59,624,1
59,625,5
59,626,1
59,627,1
59,628,5
59,629,5
59,630,1
59,631,1
59,632,1
59,633,1
59,634,5
59,635,5
59,636,1
59,637,1
59,638,1
59,639,1
59,640,1
59,641,5
59,642,1
59,643,1
59,644,1
59,645,1
59,646,5
59,647,1
59,648,1
59,649,5
59,650,1
59,651,1
59,652,1
59,653,1
59,654,1
59,655,5
59,656,5
59,657,1
59,658,1
59,659,1
59,660,5
59,661,1
59,662,5
59,663,1
59,664,5
59,665,1
59,666,1
59,667,1
59,668,1
59,669,1
59,670,1
59,671,5
59,672,1
59,673,5
59,674,5
59,675,1
59,676,1
59,677,5
59,678,1
59,679,5
59,680,1
59,681,1
59,682,1
59,683,1
59,684,1
59,685,1
59,686,1
59,687,1
59,688,1
59,689,5
59,690,1
59,691,5
59,692,5
59,693,1
59,694,1
59,695,5
59,696,1
59,697,1
59,698,1
59,699,5
59,700,1
59,701,5
59,702,1
59,703,5
59,704,1
59,705,1
59,706,1
59,707,1
59,708,1
59,709,1
59,710,5
59,711,1
59,712,1
59,713,1
59,714,1
59,715,1
59,716,5
59,717,5
59,718,5
59,719,1
59,720,5
59,721,1
59,722,5
59,723,1
59,724,1
59,725,5
59,726,1
59,727,5
59,728,5
59,729,1
59,730,5
59,731,1
59,732,1
59,733,5
59,734,5
59,735,5
59,736,1
59,737,1
59,738,1
59,739,1
59,740,5
59,741,5
59,742,5
59,743,1
59,744,1
59,745,1
59,746,1
59,747,5
59,748,1
59,749,1
59,750,5
59,751,1
59,752,5
59,753,1
59,754,1
59,755,1
59,756,5
59,757,5
59,758,1
59,759,5
59,760,1
59,761,5
59,762,1
59,763,5
59,764,1
59,765,5
59,766,5
59,767,1
59,768,5
59,769,1
59,770,1
59,771,1
59,772,1
59,773,5
59,774,1
59,775,5
59,776,5
59,777,5
59,778,1
59,779,1
59,780,5
59,781,5
59,782,5
59,783,1
59,784,5
59,785,5
59,786,5
59,787,1
59,788,1
59,789,1
59,790,1
59,791,1
59,792,1
59,793,1
59,794,1
59,795,1
59,796,1
59,797,1
59,798,1
59,799,1
59,800,5
59,801,1
59,802,1
59,803,1
59,804,1
59,805,5
59,806,1
59,807,1
59,808,1
59,809,1
59,810,1
59,811,1
59,812,1
59,813,1
59,814,1
59,815,5
59,816,5
59,817,5
59,818,5
59,819,5
59,820,5
59,821,1
59,822,1
59,823,1
59,824,1
59,825,1
59,826,5
59,827,1
59,828,1
59,829,5
59,830,5
59,831,1
59,832,1
59,833,1
59,834,5
59,835,1
59,836,5
59,837,5
59,838,1
59,839,1
59,840,1
59,841,1
59,842,1
59,843,1
59,844,1
59,845,1
59,846,1
59,847,1
59,848,1
59,849,1
59,850,5
59,851,1
59,852,1
59,853,1
59,854,5
59,855,1
59,856,5
59,857,5
59,858,1
59,859,1
59,860,1
59,861,1
59,862,1
59,863,5
59,864,5
59,865,1
59,866,1
59,867,1
59,868,1
59,869,5
59,870,1
59,871,1
59,872,1
59,873,1
59,874,1
59,875,5
59,876,5
59,877,1
59,878,1
59,879,5
59,880,1
59,881,5
59,882,1
59,883,1
59,884,1
59,885,1
59,886,1
59,887,1
59,888,5
59,889,1
59,890,1
59,891,1
59,892,1
59,893,5
59,894,1
59,895,1
59,896,1
59,897,1
59,898,1
59,899,1
59,900,5
59,901,1
59,902,5
59,903,5
59,904,1
59,905,1
59,906,5
59,907,1
59,908,1
59,909,1
59,910,5
59,911,1
59,912,1
59,913,1
59,914,1
59,915,1
59,916,5
59,917,1
59,918,1
59,919,1
59,920,1
59,921,1
59,922,1
59,923,5
59,924,1
59,925,5
59,926,1
